FID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID
174,DBLP,DOUBLE OAKS NEIGHBORHOOD PARK,2605  DOUBLE OAKS RD,2605, ,DOUBLE OAKS,RD, ,CHARLOTTE,NC,28206,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,15.116,7043363367,0,0,District 2,District 2,2008-05-14T00:00:00.000Z,BLACKSR, ,1451262.34127,553450.410031, 
175,TMRC,THOMASBORO SCHOOL RECREATION CENTER,538 BRADFORD DR,0, , , , ,CHARLOTTE,NC, ,RECREATION CENTER,DEVELOPED,CENTRAL,0, ,0,0,District 2,District 2,1899-12-30T00:00:00.000Z,BLACKSR, ,1433242.12898,553259.800343, 
176,WPRC,WALLACE PRUITT RECREATION CENTER,440 TUCKASEEGEE RD,0, , , , ,CHARLOTTE,NC,28208,RECREATION CENTER,DEVELOPED,CENTRAL,0, ,0,0,District 2,District 2,1899-12-30T00:00:00.000Z,BLACKSR, ,1443186.62426,547067.123091, 
177,WGRC,WINGET RECREATION CENTER,12235 WINGET RD,0, , , , ,CHARLOTTE,NC,28278,RECREATION CENTER,DEVELOPED,SOUTH,0, ,0,0,District 3,District 2,1899-12-30T00:00:00.000Z,BLACKSR, ,1401786.15884,508756.626988, 
178,DBOP,DOUBLE OAKS POOL,1200 NEWLAND RD,1200, ,NEWLAND,RD, ,CHARLOTTE,NC,28206,POOL,DEVELOPED,CENTRAL,2.19,7043362653,0,0,District 4,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1451653.27954,553723.551962, 
179,DBWF,DAVID B. WAYMER FLYING REGIONAL PARK,15401 HOLBROOKS RD,15401, ,HOLBROOKS,RD, ,HUNTERSVILLE,NC,28078,REGIONAL PARK,DEVELOPED,NORTH,102.68,7048969808,0,0, ,District 1,1998-07-28T00:00:00.000Z,BLACKSR, ,1458731.00298,606000.159847, 
180,DBWP,DAVID B. WAYMER COMMUNITY PARK,302 HOLBROOKS RD,302, ,HOLBROOKS,RD, ,HUNTERSVILLE,NC,28078,COMMUNITY PARK,DEVELOPED,NORTH,20.365,7048969808,0,0, ,District 1,2003-07-11T00:00:00.000Z,BLACKSR, ,1453028.25559,605262.428015, 
181,DEVS,DEVONSHIRE NEIGHBORHOOD PARK,6330 BARRINGTON DR,6330, ,BARRINGTON,DR, ,CHARLOTTE,NC,28215,NEIGHBORHOOD PARK,DEVELOPED,NORTH,1.484,7045684044,0,0,District 1,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1478858.0146,549509.814111, 
182,DOWD,DOWD HOUSE HISTORIC SITE,2216 MONUMENT ST,2216, ,MONUMENT,ST, ,CHARLOTTE,NC,28208,SPECIAL FACILITY,DEVELOPED,CENTRAL,1.252,7043531165,0,0,District 3,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1437964.37469,542284.789779, 
183,DRTA,DERITA COMMUNITY PARK,3509 FREW RD,3509, ,FREW,RD, ,CHARLOTTE,NC,28206,COMMUNITY PARK,DEVELOPED,NORTH,23.387,7043363367,0,0,District 1,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1460886.46711,554025.039083, 
184,DRUC,DRUID HILLS CENTER,2801 LUCENA ST,2801, ,LUCENA,ST, ,CHARLOTTE,NC,28206,RECREATION CENTER,DEVELOPED,CENTRAL,0,7043531242,0,0,District 4,District 3,2004-03-18T00:00:00.000Z,BLACKSR, ,1455307.47713,553405.298041,CMS
185,DRUD,DRUID HILLS NEIGHBORHOOD PARK,2801 POINSETT ST,2801, ,POINSETT,ST, ,CHARLOTTE,NC,28206,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,6.922,7043362884,0,0,District 4,District 3,1998-10-07T00:00:00.000Z,BLACKSR, ,1453206.05708,554045.78879, 
186,EALD,EAGLES LANDING NEIGHBORHOOD PARK,EAGLES LANDING DR,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,7.487, ,0,0,District 2,District 2,2003-07-11T00:00:00.000Z,BLACKSR, ,1425159.71578,559031.772376, 
187,EASP,EASTWAY COMMUNITY PARK,423 EASTWAY DR,423, ,EASTWAY,DR, ,CHARLOTTE,NC,28215,COMMUNITY PARK,DEVELOPED,NORTH,90.547, ,0,0,District 1,District 3,2003-07-11T00:00:00.000Z,BLACKSR, ,1468626.32878,551824.028961, 
188,EAST,EASTOVER NEIGHBORHOOD PARK,2730 RANDOLPH RD,2730, ,RANDOLPH,RD, ,CHARLOTTE,NC,28207,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,19.419,7043362884,0,0,District 1,District 5,1998-07-28T00:00:00.000Z,BLACKSR, ,1458395.68998,532584.082774, 
189,EBMP,EB MOORE NEIGHBORHOOD PARK,901 MARSH RD,901, ,MARSH,RD, ,CHARLOTTE,NC,28209,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,4.017,7043362884,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR, ,1444753.8452,528449.993831, 
190,EDGE,EDGEHILL NEIGHBORHOOD PARK,812 S EDGEHILL RD,812,S,EDGEHILL,RD, ,CHARLOTTE,NC,28207,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,5.375,7043362884,0,0,District 1,District 5,1998-07-28T00:00:00.000Z,BLACKSR, ,1452643.79453,533762.375571, 
191,ELNC,ELON CENTER,11401 ARDREY KELL RD,11401, ,ARDREY KELL,RD, ,CHARLOTTE,NC,28277,RECREATION CENTER,DEVELOPED,SOUTH,10,7045402426,0,0,District 7,District 6,2008-01-16T00:00:00.000Z,BLACKSR, ,1447640.93587,468327.282147, 
192,ENDC,BETTE RAE THOMAS CENTER,2921 TUCKASEEGEE RD,1220, ,CLAY,AV, ,CHARLOTTE,NC,28208,RECREATION CENTER,DEVELOPED,CENTRAL,6.092,7043937333,0,0,District 3,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1439162.5196,548110.618431, 
193,ENDP,ENDERLY NEIGHBORHOOD PARK,1501 ENDERLY RD,1501, ,ENDERLY,RD, ,CHARLOTTE,NC,28208,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,8.476,7043531165,0,0,District 3,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1437471.94602,547784.5067, 
194,EPDO,EAST DISTRICT PARK OFFICE,5715 MONROE RD,5715, ,MONROE,RD, ,CHARLOTTE,NC,28212,SPECIAL FACILITY,DEVELOPED,SOUTH,0,7045684044,0,0,District 5,District 4,2002-06-12T00:00:00.000Z,BLACKSR, ,1472227.86941,527689.407304, 
